split,regime,policy,budget_pp,cal_coverage,cal_net_lcb_pp,test_steps_deleted,test_net_per_deletion_pp,test_harmed_share_obs,test_harmed_share_null_floor,test_harmed_share_excess,test_harmed_share_severe,test_severe_null_floor,test_severe_excess
2,balanced_cohort,random,3,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,random,5,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,rating_first,1,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,rating_first,3,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,rating_first,5,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,harmful_first,1,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,harmful_first,3,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,harmful_first,5,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,intersection_first,1,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,intersection_first,3,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,intersection_first,5,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,prm:llama31_8b_prm_deepseek,1,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,prm:llama31_8b_prm_deepseek,3,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,prm:llama31_8b_prm_deepseek,5,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,prm:math_shepherd_mistral_7b,1,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,prm:math_shepherd_mistral_7b,3,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,prm:math_shepherd_mistral_7b,5,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,prm:qwen25_math_prm_7b,1,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,prm:qwen25_math_prm_7b,3,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,prm:qwen25_math_prm_7b,5,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,predictor_D,1,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,predictor_D,3,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,predictor_D,5,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,predictor_E,1,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,predictor_E,3,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,balanced_cohort,predictor_E,5,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
2,natural_prevalence,random,1,0.000,,0,,,,,,,
2,natural_prevalence,random,3,0.000,,0,,,,,,,
2,natural_prevalence,random,5,1.000,-4.01,290,-2.36,0.197,0.111,0.086,0.115,0.036,0.079
2,natural_prevalence,rating_first,1,0.645,-0.29,187,-3.87,0.193,0.117,0.076,0.170,0.039,0.131
2,natural_prevalence,rating_first,3,0.645,-0.29,187,-3.87,0.193,0.117,0.076,0.170,0.039,0.131
2,natural_prevalence,rating_first,5,1.000,-4.01,290,-2.36,0.197,0.111,0.086,0.115,0.036,0.079
2,natural_prevalence,harmful_first,1,0.452,0.64,131,-7.47,0.249,0.131,0.118,0.193,0.045,0.148
2,natural_prevalence,harmful_first,3,0.613,-1.85,178,-4.32,0.224,0.128,0.095,0.170,0.045,0.125
2,natural_prevalence,harmful_first,5,1.000,-4.01,290,-2.36,0.197,0.111,0.086,0.115,0.036,0.079
2,natural_prevalence,intersection_first,1,0.645,-0.29,187,-3.87,0.193,0.117,0.076,0.170,0.039,0.131
