policy,policy_label,n_steps,coverage,net_accuracy_change_pp,avg_selected_effect_pp,run_danger_rate,danger_rate_among_correct,run_benefit_rate,step_danger_rate
neg1_x_harmful,Rating = -1 x Harmful,510,0.8500,7.2500,8.5294,0.0858,0.1607,0.1711,0.1490
neg1_x_harmful,Rating = -1 x Harmful,520,0.8667,7.2917,8.4135,0.0861,0.1611,0.1702,0.1500
neg1_x_harmful,Rating = -1 x Harmful,530,0.8833,7.1667,8.1132,0.0868,0.1607,0.1679,0.1509
neg1_x_harmful,Rating = -1 x Harmful,540,0.9000,7.5000,8.3333,0.0852,0.1566,0.1685,0.1481
neg1_x_harmful,Rating = -1 x Harmful,550,0.9167,7.5000,8.1818,0.0841,0.1533,0.1659,0.1473
neg1_x_harmful,Rating = -1 x Harmful,560,0.9333,7.3333,7.8571,0.0862,0.1561,0.1647,0.1518
neg1_x_harmful,Rating = -1 x Harmful,570,0.9500,7.3333,7.7193,0.0851,0.1530,0.1623,0.1509
neg1_x_harmful,Rating = -1 x Harmful,580,0.9667,7.1667,7.4138,0.0862,0.1546,0.1603,0.1517
neg1_x_harmful,Rating = -1 x Harmful,590,0.9833,7.2500,7.3729,0.0860,0.1537,0.1597,0.1525
neg1_x_harmful,Rating = -1 x Harmful,600,1.0000,7.2083,7.2083,0.0850,0.1508,0.1571,0.1517
predictor_static,Static predictor (model D),10,0.0167,0.0833,5.0000,0.0000,0.0000,0.0500,0.0000
predictor_static,Static predictor (model D),20,0.0333,1.0417,31.2500,0.0000,0.0000,0.3125,0.0000
predictor_static,Static predictor (model D),30,0.0500,1.4167,28.3333,0.0000,0.0000,0.2833,0.0000
predictor_static,Static predictor (model D),40,0.0667,2.2500,33.7500,0.0063,0.1429,0.3438,0.0250
predictor_static,Static predictor (model D),50,0.0833,3.2917,39.5000,0.0050,0.1429,0.4000,0.0200
predictor_static,Static predictor (model D),60,0.1000,4.2083,42.0833,0.0042,0.1429,0.4250,0.0167
predictor_static,Static predictor (model D),70,0.1167,5.0833,43.5714,0.0036,0.1111,0.4393,0.0143
predictor_static,Static predictor (model D),80,0.1333,5.5833,41.8750,0.0031,0.1111,0.4219,0.0125
predictor_static,Static predictor (model D),90,0.1500,6.1667,41.1111,0.0028,0.1111,0.4139,0.0111
predictor_static,Static predictor (model D),100,0.1667,6.3333,38.0000,0.0075,0.2727,0.3875,0.0200
predictor_static,Static predictor (model D),110,0.1833,6.5000,35.4545,0.0136,0.4286,0.3682,0.0273
